역명코드,한글,한자,로마자,좌표
0273,압록,鴨綠,Amnok,"[35.19861, 127.37333]"
0274,효천,孝泉,Hyocheon,"[35.10276, 126.87666]"
0275,서광주,西光州,Seogwangju,"[35.125, 126.846565]"
0276,청주공항,淸州空港,Cheongju Int'l Airport,"[36.72139, 127.48972]"
0279,직산,稷山,Jiksan,"[36.87083, 127.14389]"
0280,배방,排芳,Baebang,"[36.77778, 127.05306]"
0281,신창(순천향대),新昌(順天鄕大),Sinchang(Soonchunhyang Univ.),"[36.769627, 126.95081]"
0284,화양,華陽,Hwayang,"[36.63111, 126.71528]"
0285,신성,新城,Sinseong,"[36.56806, 126.66194]"
0286,원죽,元竹,Wonjuk,"[36.46694, 126.6175]"
0287,주포,周浦,Jupo,"[36.41083, 126.57194]"
0293,내수,內秀,Naesu,"[36.72833, 127.53639]"
0294,도안,道安,Doan,"[36.81333, 127.61444]"
0295,보천,甫川,Bocheon,"[36.87667, 127.65861]"
0296,동량,東良,Dongnyang,"[37.03333, 127.97056]"
0297,오송,五松,Osong,"[36.620792, 127.3278]"
0298,제천조차장,堤川操車場,Jecheonjochajang,"[37.127693, 128.1785]"
0299,삼척해변,三陟海邊,Samcheokhaebyeon,"[37.468132, 129.16586]"
0300,이원,伊院,Iwon,"[36.24389, 127.61806]"
0301,군포,軍浦,Gunpo,"[37.35361, 126.94847]"
0302,의왕,義王,Uiwang,"[37.321068, 126.94814]"
0303,병점,餠店,Byeongjeom,"[37.20667, 127.03306]"
0304,전동,全東,Jeondong,"[36.65417, 127.26528]"
0305,내판,內板,Naepan,"[36.55722, 127.32472]"
0306,매포,梅浦,Maepo,"[36.49889, 127.39083]"
0307,회덕,懷德,Hoedeok,"[36.4025, 127.42167]"
0308,지탄,池灘,Jitan,"[36.24167, 127.67583]"
0309,각계,覺溪,Gakgye,"[36.20806, 127.72556]"
0310,대신,大新,Daesin,"[36.15278, 128.1964]"
0311,아포,牙浦,Apo,"[36.15861, 128.25722]"
0312,사곡,沙谷,Sagok,"[36.09806, 128.35611]"
0313,연화,蓮化,Yeonhwa,"[35.965, 128.44722]"
0314,지천,枝川,Jicheon,"[35.8975, 128.50027]"
0315,고모,顧母,Gomo,"[35.85889, 128.6786]"
0316,삼성,三省,Samseong,"[37.508743, 127.06352]"
0317,남성현,南省峴,Namseonghyeon,"[35.70528, 128.71693]"
0318,신거,新巨,Singeo,"[35.59806, 128.76527]"
0319,망우,忘憂,Mangu,"[37.59917, 127.09222]"
0320,팔당,八堂,Paldang,"[37.54827, 127.24399]"
0321,운길산,雲吉山,Ungilsan,"[37.55194, 127.3075]"
0322,신원,新院,Sinwon,"[37.52598, 127.37248]"
0323,국수,菊秀,Guksu,"[37.516182, 127.39939]"
0324,아신,我新,Asin,"[37.51393, 127.442986]"
0325,석불,石佛,Seokbul,"[37.46, 127.65472]"
0326,만종,萬鍾,Manjong,"[37.35636, 127.8964]"
0330,고명,高明,Gomyeong,"[37.113693, 128.24225]"
0339,아화,阿火,Ahwa,"[35.89778, 129.05139]"
0340,구모량,舊牟梁,Gumoryang,"[35.82694, 129.12418]"
0342,가수원,佳水院,Gasuwon,"[36.29944, 127.35639]"
0343,흑석리,黑石里,Heukseok-ri,"[36.25524, 127.339066]"
0346,부황,夫皇,Buhwang,"[36.225, 127.15278]"
0347,용동,龍東,Yongdong,"[36.10917, 126.99083]"
0349,황등,黃登,Hwangdeung,"[35.999718, 126.943344]"
0350,부용,芙蓉,Buyong,"[35.8775, 126.94361]"
0351,와룡,臥龍,Waryong,"[35.8475, 126.94111]"
0352,감곡,甘谷,Gamgok,"[35.73333, 126.89722]"
0354,천원,川原,Cheonwon,"[35.52556, 126.81889]"
0355,노령,蘆嶺,Noryeong,"[35.49, 126.80056]"
0357,안평,安平,Anpyeong,"[35.33333, 126.78]"
0359,임곡,林谷,Imgok,"[35.21806, 126.745]"
0360,하남,河南,Hanam,"[35.175, 126.79611]"
0361,노안,老安,Noan,"[35.06611, 126.74222]"
0362,임성리,任城里,Imseong-ri,"[34.82039, 126.43542]"
0364,동익산,東益山,Dongiksan,"[35.92111, 126.95694]"
0366,동산,東山,Dongsan,"[35.875, 127.08778]"
0369,신리,新里,Sin-ri,"[35.77306, 127.20639]"
0370,관촌,館村,Gwanchon,"[35.66194, 127.27661]"
0372,봉천,鳳泉,Bongcheon,"[37.4825, 126.941475]"
0373,서도,書道,Seodo,"[35.49194, 127.33083]"
0374,산성,山城,Sanseong,"[37.456917, 127.150024]"
0375,주생,周生,Jusaeng,"[35.37639, 127.31722]"
0376,옹정,甕井,Ongjeong,"[35.35417, 127.29556]"
0377,금지,金池,Geumji,"[35.32917, 127.29]"
0378,봉덕,鳳德,Bongdeok,"[35.13444, 127.45694]"
0379,개운,開雲,Gaeun,"[35.02722, 127.45333]"
0380,동운,東雲,Dongun,"[35.00806, 127.47889]"
0382,성산,星山,Seongsan,"[34.92472, 127.54556]"
0383,율촌,栗村,Yulchon,"[34.87556, 127.57667]"
0385,신촌,新村,Sinchon,"[37.55972, 126.94306]"
0386,가좌,加佐,Gajwa,"[37.568657, 126.91525]"
0387,수색,水色,Susaek,"[37.58176, 126.89394]"
0388,한국항공대,韓國航空大,Korea Aerospace Univ.,"[37.603523, 126.867714]"
0389,강매,江梅,Gangmae,"[37.612194, 126.84319]"
0390,행신,幸信,Haengsin,"[37.61216, 126.8339]"
0391,능곡,陵谷,Neunggok,"[37.618973, 126.82058]"
0392,대곡,大谷,Daegok,"[37.63083, 126.81056]"
0393,곡산,谷山,Goksan,"[37.64572, 126.80178]"
0394,백마,白馬,Baengma,"[37.65825, 126.79444]"
0395,일산,一山,Ilsan,"[37.682343, 126.76955]"
0396,탄현,炭峴,Tanhyeon,"[37.69378, 126.761055]"
0397,운정,雲井,Unjeong,"[37.72525, 126.767]"
0398,금촌,金村,Geumchon,"[37.76583, 126.77392]"
0399,월롱,月籠,Wollong,"[37.796192, 126.79256]"
0400,파주,坡州,Paju,"[37.815193, 126.79281]"
0401,문산,文山,Munsan,"[37.854557, 126.78758]"
0402,임진강,臨津江,Imjingang,"[37.88806, 126.74694]"
0403,도라산,都羅山,Dorasan,"[37.89851, 126.7093]"
0404,효창공원앞,孝昌公園앞,Hyochang Park,"[37.539276, 126.961365]"
0405,서강대,西江大,Sogang Univ.,"[37.55214, 126.935555]"
0406,가능,佳陵,Ganeung,"[37.74833, 127.04417]"
